2,2017-02-05.21-53-40,14:23,S3DA:H4HADQD8,S,PLAYER_WIN,1523794,5000,10000,{'step': 'Stop', 'state': 'true', 'bust': 'dealer', 'dealerPoints': 23, 'splited': 'false', 'totalCoins': 1543794, 'playerPoints': 14, 'win': 'W', 'player': [{'id': 15, 'value': 3}, {'id': 39, 'value': 1}], 'dealer': [{'id': 29, 'value': 4}, {'id': 26, 'value': 1}, {'id': 50, 'value': 12}, {'id': 46, 'value': 8}]}

6,2017-02-05.21-53-41,21:10,SASK:C4C6,,PLAYER_BLACKJACK,1546294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1543794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 25, 'value': 13}], 'dealer': [{'id': 3, 'value': 4}, {'id': 5, 'value': 6}]}

53,2017-02-05.21-53-52,21:18,HJDA:C8CQ,,PLAYER_BLACKJACK,1536294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1533794, 'cansplit': 'false', 'player': [{'id': 36, 'value': 11}, {'id': 39, 'value': 1}], 'dealer': [{'id': 7, 'value': 8}, {'id': 11, 'value': 12}]}

71,2017-02-05.21-53-56,21:16,HQHA:C5SA,,PLAYER_BLACKJACK,1511294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1508794, 'cansplit': 'false', 'player': [{'id': 37, 'value': 12}, {'id': 26, 'value': 1}], 'dealer': [{'id': 4, 'value': 5}, {'id': 13, 'value': 1}]}

97,2017-02-05.21-54-03,21:14,SACT:D9H5,,PLAYER_BLACKJACK,1511294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1508794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 9, 'value': 10}], 'dealer': [{'id': 47, 'value': 9}, {'id': 30, 'value': 5}]}

111,2017-02-05.21-54-07,21:19,SKSA:DJS9,,PLAYER_BLACKJACK,1516294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1513794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 49, 'value': 11}, {'id': 21, 'value': 9}]}

146,2017-02-05.21-54-17,21:20,DACJ:SKCK,,PLAYER_BLACKJACK,1516294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1513794, 'cansplit': 'false', 'player': [{'id': 39, 'value': 1}, {'id': 10, 'value': 11}], 'dealer': [{'id': 25, 'value': 13}, {'id': 12, 'value': 13}]}

158,2017-02-05.21-54-19,21:19,SAST:D8HA,,PLAYER_BLACKJACK,1536294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1533794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 22, 'value': 10}], 'dealer': [{'id': 46, 'value': 8}, {'id': 26, 'value': 1}]}

175,2017-02-05.21-54-24,21:18,CQDA:CTD8,,PLAYER_BLACKJACK,1521294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1518794, 'cansplit': 'false', 'player': [{'id': 11, 'value': 12}, {'id': 39, 'value': 1}], 'dealer': [{'id': 9, 'value': 10}, {'id': 46, 'value': 8}]}

198,2017-02-05.21-54-30,21:12,STSA:HJD2,,PLAYER_BLACKJACK,1501294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1498794, 'cansplit': 'false', 'player': [{'id': 22, 'value': 10}, {'id': 13, 'value': 1}], 'dealer': [{'id': 36, 'value': 11}, {'id': 40, 'value': 2}]}

228,2017-02-05.21-54-39,21:9,SKSA:S3H6,,PLAYER_BLACKJACK,1496294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1493794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 15, 'value': 3}, {'id': 31, 'value': 6}]}

263,2017-02-05.21-54-49,21:20,SADJ:HAH9,,PLAYER_BLACKJACK,1516294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1513794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 49, 'value': 11}], 'dealer': [{'id': 26, 'value': 1}, {'id': 34, 'value': 9}]}

264,2017-02-05.21-54-49,21:14,CTDA:D5C9,,PLAYER_BLACKJACK,1521294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1518794, 'cansplit': 'false', 'player': [{'id': 9, 'value': 10}, {'id': 39, 'value': 1}], 'dealer': [{'id': 43, 'value': 5}, {'id': 8, 'value': 9}]}

293,2017-02-05.21-54-56,21:18,CJDA:C7SA,,PLAYER_BLACKJACK,1536294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1533794, 'cansplit': 'false', 'player': [{'id': 10, 'value': 11}, {'id': 39, 'value': 1}], 'dealer': [{'id': 6, 'value': 7}, {'id': 13, 'value': 1}]}

297,2017-02-05.21-54-57,21:13,CAHK:STH3,,PLAYER_BLACKJACK,1541294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1538794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 38, 'value': 13}], 'dealer': [{'id': 22, 'value': 10}, {'id': 28, 'value': 3}]}

298,2017-02-05.21-54-57,21:11,DKHA:D8S3,,PLAYER_BLACKJACK,1546294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1543794, 'cansplit': 'false', 'player': [{'id': 51, 'value': 13}, {'id': 26, 'value': 1}], 'dealer': [{'id': 46, 'value': 8}, {'id': 15, 'value': 3}]}

316,2017-02-05.21-55-01,21:17,HJDA:C7HQ,,PLAYER_BLACKJACK,1516294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1513794, 'cansplit': 'false', 'player': [{'id': 36, 'value': 11}, {'id': 39, 'value': 1}], 'dealer': [{'id': 6, 'value': 7}, {'id': 37, 'value': 12}]}

350,2017-02-05.21-55-10,21:20,SKSA:DAD9,,PLAYER_BLACKJACK,1471294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1468794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 39, 'value': 1}, {'id': 47, 'value': 9}]}

356,2017-02-05.21-55-11,21:18,CACT:CKC8,,PLAYER_BLACKJACK,1451294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1448794, 'cansplit': 'false', 'player': [{'id': 0, 'value': 1}, {'id': 9, 'value': 10}], 'dealer': [{'id': 12, 'value': 13}, {'id': 7, 'value': 8}]}

357,2017-02-05.21-55-12,21:15,SADT:S6S9,,PLAYER_BLACKJACK,1456294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1453794, 'cansplit': 'false', 'player': [{'id': 13, 'value': 1}, {'id': 48, 'value': 10}], 'dealer': [{'id': 18, 'value': 6}, {'id': 21, 'value': 9}]}

365,2017-02-05.21-55-14,21:11,DQDA:S9D2,,PLAYER_BLACKJACK,1461294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1458794, 'cansplit': 'false', 'player': [{'id': 50, 'value': 12}, {'id': 39, 'value': 1}], 'dealer': [{'id': 21, 'value': 9}, {'id': 40, 'value': 2}]}

369,2017-02-05.21-55-15,21:20,SKHA:SQCT,,PLAYER_BLACKJACK,1486294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1483794, 'cansplit': 'false', 'player': [{'id': 25, 'value': 13}, {'id': 26, 'value': 1}], 'dealer': [{'id': 24, 'value': 12}, {'id': 9, 'value': 10}]}

416,2017-02-05.21-55-27,21:18,STHA:D8DT,,PLAYER_BLACKJACK,1426294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1423794, 'cansplit': 'false', 'player': [{'id': 22, 'value': 10}, {'id': 26, 'value': 1}], 'dealer': [{'id': 46, 'value': 8}, {'id': 48, 'value': 10}]}

427,2017-02-05.21-55-29,21:11,CKSA:C5S6,,PLAYER_BLACKJACK,1421294,5000,12500,{'step': 'Stop', 'blackjack': 'true', 'state': 'true', 'win': 'W', 'totalCoins': 1418794, 'cansplit': 'false', 'player': [{'id': 12, 'value': 13}, {'id': 13, 'value': 1}], 'dealer': [{'id': 4, 'value': 5}, {'id': 18, 'value': 6}]}

